date,time,light_cycle,ax_attempt,ax_success,diag_attempt,diag_success,prop_across,prop_diag,notes
9/18/2025,17:18,1,7,6,2,0,0.857142857,0,M2 blocking
9/18/2025,17:20,2,12,12,2,1,1,0.5,
9/18/2025,17:22,3,10,10,5,2,1,0.4,
9/18/2025,17:24,4,9,7,3,2,0.777777778,0.666666667,
9/18/2025,17:26,5,4,4,3,3,1,1,
9/18/2025,17:28,6,2,2,0,0,1,#DIV/0!,
9/18/2025,17:30,7,12,12,6,3,1,0.5,
9/18/2025,17:32,8,9,9,5,4,1,0.8,
9/18/2025,17:34,9,14,14,8,5,1,0.625,
9/18/2025,17:36,10,10,10,7,2,1,0.285714286,Bus blocking
9/18/2025,17:38,11,7,7,3,0,1,0,
9/18/2025,17:40,12,12,12,4,1,1,0.25,
9/18/2025,17:42,13,20,20,8,5,1,0.625,
9/18/2025,17:44,14,6,6,3,1,1,0.333333333,
9/18/2025,17:46,15,16,16,4,3,1,0.75,
9/18/2025,17:48,16,12,10,6,3,0.833333333,0.5,
9/23/2025,17:20,1,18,18,7,5,1,0.714285714,
9/23/2025,17:22,2,12,12,5,2,1,0.4,
9/23/2025,17:24,3,10,10,4,2,1,0.5,
9/23/2025,17:26,4,20,20,4,1,1,0.25,
9/23/2025,17:28,5,10,9,5,3,0.9,0.6,
9/23/2025,17:30,6,14,14,1,0,1,0,
9/23/2025,17:32,7,15,14,4,2,0.933333333,0.5,
9/23/2025,17:34,8,18,18,4,1,1,0.25,
9/23/2025,17:36,9,13,13,3,3,1,1,
9/23/2025,17:38,10,16,16,4,4,1,1,
9/23/2025,17:40,11,11,11,9,3,1,0.333333333,
9/23/2025,17:42,12,13,13,6,4,1,0.666666667,
9/23/2025,17:44,13,3,3,0,0,1,#DIV/0!,
9/23/2025,17:46,14,12,12,2,0,1,0,
9/23/2025,17:48,15,10,10,2,1,1,0.5,
9/23/2025,17:50,16,9,8,6,5,0.888888889,0.833333333,
